,Lyrics
"""Differences""",hey yeah yeah yeah yeah whole life changed since came knew back special one love deep love made life complete sweet one competes glad came life blind love sight girl open wide open thing never feel good feel good take long finding story telling fiction surely fact without right back really know might also like whole life changed whole life changed since came knew back ooh special one baby love deep love made life complete made life complete sweet one competes glad came life ooh blind love sight analyzed buckwild never thought settling time knew ready friend around girl put first put first made helped mold helped mold baby turned man responsible owe whole life changed whole life changed since came knew back special one special one love deep love made life complete made life complete sweet one competes glad came life glad came blind love blind baby sight god blessed god blessed baby girl good sent happy baby happy happy baby yes baby share world come share world baby whoa yeah yeah love love addicted love baby yeah whole life changed yes since came knew back ooh special one special one love special one deep love made life complete made life complete sweet yes baby one competes one competes hah glad came life blind love come sight whole life changed whole life changed since came knew back made difference life special one knew special one love deep love first laid eye babe made life complete made life complete darlin sweet one competes one competes baby glad came life one one blind love one sight come whole life changed whoa whoa whoa since came knew back 
"""How You Remind Me""",never made wise man cut poor man stealing tired livin like blind man sick sight without sense feeling remind remind really remind really like say sorry waitin different story time mistaken handing heart worth breakin wrong bottom every bottle five word head scream havin fun yet yet yet yet yet yet yet like know said love swear still must bad cause livin must damn near killed might also like remind really remind really like say sorry waitin different story time mistaken handing heart worth breakin wrong bottom every bottle five word head scream havin fun yet yet yet yet yet yet yet yet yet yet yet yet yet never made wise man cut poor man stealin remind remind remind really remind really like say sorry waitin different story time mistaken handing heart worth breakin wrong bottom every bottle five word head scream havin fun yet yet yet havin fun yet yet yet havin fun yet yeah yeah five word head scream havin fun yet yeah yeah five word head 
"""Foolish""",murder inc ashanti see day cold without hurting though heart take keep running back see day cold without hurting though heart take keep running back baby know treating bad treat bad said love one though heart beating stop cry know allow treat way still stay see day cold without without hurting whoa though heart take keep running back keep running back see day cold without without hurting though heart take keep running back might also like baby know wan wrong wrong see home alone always gone always gone boy know really love deny see could bring many tear year see day cold without day yeah hurting though heart take keep running back see day cold without without hurting without though heart take keep running back keep running back ooh trusted trusted sad sad love make thing accept thing regret lady lady feel come sing see get strength leave always tell need weak cause believe mad love stop think maybe learn appreciate remains never gon change never gon change never gon change see day cold without day cold baby hurting though heart take keep running back see day cold without without hurting though heart take keep running back baby hurt leave desert boy gave heart tear looking window knowing even pack bag something always hold back 
"""Hot in Herre""",hot hot hot want little bit little bit little bit little bit little bit little bit like good gracious as bodacious flirtatious tryna show patience waitin right time shoot steez know waitin right time flash key leavin please believe rest heathen check got locked top four season penthouse rooftop bird feedin deceivin nothin sleeve teasin need get dance floor give man askin cause feel like bustin loose feel like touchin nobody stop juice baby tell use said might also like gettin hot hot take clothes ayy gettin hot wan take clothes gettin hot hot take clothes ayy gettin hot wan take clothes let hang bar poppin bottle mon good fame fuckin model see drivin sport car hittin throttle hundred top goggles got freeway exit parked ash tray flip gate time spark went gucci collar dollar got walked spit game cause baby talk warm sweatin hot joint vokal tank top point wit winner baby lose got secret leave cancun take like home alone know dance front mirror phone checkin reflection tellin best friend like girl think butt gettin big gettin hot hot take clothes ayy gettin hot wan take clothes gettin hot hot take clothes ayy gettin hot wan take clothes let hang mix little bit little bit let fall give little bit little bit let hang little bit sprinkle let fall like girl baby make stop pacin time wastin got friend pole basement kiddin like jason unless gon extra extra ayy spread news check nelly took trip lou neptune came back somethin thicker fittin sasoons say got thing cuttin restroom gettin hot hot take clothes ayy gettin hot wan take clothes gettin hot hot take clothes ayy gettin hot wan take clothes let hang gettin hot hot take clothes ayy gettin hot check wan take clothes gettin hot hot take clothes gettin hot bring bring wan take clothes let hang mix little bit little bit let fall give little bit little bit let hang little bit sprinkle let fall like girl baby make 
"""Dilemma""",decided long ago never walk anyone shadow also wir bleiben safe bei diesem one take ding fail succeed okay least live believe yeah matter take take away dignity grea keiner lacht mehr mama ich war beim notar mama gmbh mama ich glaub ich brauch havanna zwei jahre lang kein lebenszeichen ich hab gewartet wie ein kleines kind zebrastreifen weil ich dacht business sachen sind wie wissenschaften bi ich verstanden hab ich mus nur ein paar schritte machen und endlich alle andern sich nach mir richten lassen von nun nur noch bling bling und cristal flaschen doch bevor wir weit sind sammeln gerichte akten bullen rmen die hotelsuite mich fassen ich tausche ein paar bitch gegen ein paar mitinsassen yeah ich sch tze sowas nennt man licht und schatten nach nur acht stunden wieder frei danke gott doch da ganze hat haken wie ein angel shop andre leute gehen sonntag zum gottesdienst bei mir steh fotografen vor dem haus ich seh da objektiv al die beiden mit dem streit jeder zeitung sind mpfen sie ums recht auf shindy al ich ein scheidungskind jeder den krieg gewinn ich wurd zum matchball wusst ich diesis spielchen wird zum rechtsfall ich sag ich raus aber man sst mich nicht ich sag ich zahl euch au aber man sst mich nicht tzlich reichen die probleme bi nach bietigheim bi vor die haust ich mus nicht weiter ausf cop woll ein statement bild ein statement doch ich red lieber mit ner milf ber spray tan fick aufs spotlight account offline kein output daf bauschutt stell ein studio hin ich da erste mal gekifft hab vier leute teilen eine zwei liter schwip schwap damit zuhause keiner etwas riecht essen wir tic tac jetzt sitz ich hier auf samtsofas und schnickschnack persische teppiche berwachungsmonitor wie scarface noch immer hotel und heartbreak label renn mir hinterher ich kann alles haben ich million bin musst alex fragen ich bleib ein kind macht da business mit sein assistenten hasse nicht erwachsensein ha nur wie erwachsne denken alles ich ist monat taschengeld eine patek einen phantom und mademoiselle manchmal schmeckt da leben wie ein obstragout manchmal kriegt jeder der dir helfen nen drohanruf manchmal wird die rolex von dei vater au dei haus geklaut und manchmal willst gar nicht wissen wer war ich kann da niemals meiner mutter erz oder das zehntausend euro au der schublade fehl yeah da ist da gef wenn nicht wei wem vertrau kannst ich nscht wir wie damals jetzt mit alkopops vor kaufland auf den brandneuen nike ich bin ice wie die zeit fliegt vor sechs jahr exmatrikuliert doch sechs jahr mehr gelernt al ich sechs jahre studiert yeah ich hab dich letztens noch geseh deiner schei karre der kreuzung bei mcdonald polizeiwache dachtest damals wirst nba pro guck auf die day date bro den roll royce wraith bro wer ballt jetzt junge ich hol den rebound seh fresher au al damals mein profilbild bei greektown sahst au al dich dein beamtenalltag reizen danke die beste rote ampel aller zeiten ich wei noch gro pause raucherstein alles ich wollte war stehen und genauso sein carhartt beany osiris wei dicky sweater riot city rapper jetzt ist euer leben nur noch zweitliga jeden tag nine five minesweeper damals hie open mic nur shindy kann nicht rein heute hei bist doch shindy kann da sein ich schei auf eure riot city jam ich bin immer noch bissingens cent ich steh morgen dann auf wenn ich und piss auf meine alte schule von mei haus den hill ich lach jetzt mama haha mama die schaufeln mir kein grab die bau mir eine grabkammer papa meinte ist stolz meinem traum neulich wir hab nicht viel gemeinsam aber ich war lange blau ugig ich dachte intrigen gibt nur ner daily soap oder irgendwelchen serien von hbo alle selbsts chtig auf die harte art gelernt das keine freunde gibt sobald da geld mitmischt paradox das wir da label friend money nenn soll ich sagen der holt roll royce cullinan da war ein dilemma wie nelly featuring kelly rowland doch ich bin back meinen magic moment den ganzen tag studio wie ein vocalcoach da ist kein comeback ich nenn da road goat geh und richt deinen freunden au sch keine pilotenbrille doch folgen henfl nur paar dinge die rausmussten drip vorsicht nicht ausrutschen might also like 
"""Wherever You Will Go""",lately wondering take place gone need love light shadow face great wave shall fall fall upon sand stone could make could would wherever way high low wherever maybe find way make back someday watch guide darkest day great wave shall fall fall upon hope someone bring back might also like could would wherever way high low wherever run away heart run away hope run away love know quite life love might still heart mind stay time could would wherever way high low wherever could turn back time wherever could make mine wherever wherever 
"""A Thousand Miles""",makin way downtown walkin fast face pas homebound starin blankly ahead makin way makin way crowd need miss wonder could fall sky think time would pas cause know walk thousand mile could see tonight always time like think wonder ever think cause everything wrong belong livin precious memory might also like cause need miss wonder could fall sky think time would pas cause know walk thousand mile could see tonight wan let know drown memory wan let makin way downtown walkin fast face pas homebound starin blankly ahead makin way makin way crowd still need still miss wonder could fall sky think time would pas cause know walk thousand mile could see could fall sky think time would pas cause know walk thousand mile could see could hold tonight 
"""In the End""",start one one thing know even matter hard try keep mind designed rhyme explain due time know time valuable thing watch fly pendulum swing watch count end day clock tick life away unreal look watch time right window tryin hold even know wasted watch kept everything inside even though tried fell apart meant eventually memory time tried hard tried hard got far end even matter fall lose end even matter might also like one thing know even matter hard try keep mind designed rhyme remind tried hard spite way mockin actin like part property remembering time fought surprised got far thing way even recognize anymore knew back come back end kept everything inside even though tried fell apart meant eventually memory time tried hard tried hard got far end even matter fall lose end even matter put trust pushed far one thing know put trust pushed far one thing know tried hard got far end even matter fall lose end even matter 
"""What's Luv?""",put fuckin mic mic joe crack irv gotti love ashanti terror terror squad trust love got got babe love trust babe love got got babe love trust babe love yeah woo yeah slow baby let know gate lady wan chick thick hip lick lip office type like strip girl get aroused look eye talk much man ruinin high wan lose feelin cause roof chillin fire lookin good gettin rider whether hoodie linen provider see jewelry woman livin squad stay fillin truck chick willin triz say got man love love got little menage par tay could slide could come love might also like love got got babe love trust babe love got got babe love trust babe love yeah yeah mami know got issue got man need understand got somethin as fat frame little tattoo chest name middle hater crush lot way shake booty want stop need come little closer come little closer let put arm like supposed please believe leave freakin night like need trust god jump car little hard eight taj mahal love love got got babe love trust babe love got got babe love trust babe love yeah stroll club hat michael jack style hot steppin mack fault cause love kid might chain whip know party bullshit mon mami put body motion got nigga open came heart cheat need sing song lady come look eye stoppin want joey crack top huh want stack break back yeah gon cut slack cause like woo come yeah yeah put yeah yeah put girl put girl love got got babe love trust babe love got got babe love trust babe love got got babe love trust babe love got got babe love trust babe love 
"""U Got It Bad""",ooh ooh feel body found somebody make change way like hanging crew said act like ready really know everything past wan let done humped around found nobody want alone touched word song maybe got got bad phone yeah hang call right back got got bad miss day without friend whole life track know got bad stuck house wan fun think got bad someone keep thinking bout somebody else got bad might also like say love really know everything used matter matter like money car flower card candy cause said fortunate girl want know really adore people know going look mate help sing song tell man girl gon tell whole wide world lady say girl man promise love best see done humped around found everyone like bad see got bad got got bad hey hey phone hang call right back got got bad miss day without friend whole life track yeah know got bad stuck house stuck wan fun think look got bad someone keep thinking bout somebody else somebody got bad got got bad phone hang call right back got got bad miss day without friend whole life track know got bad stuck house wan fun think got bad someone keep thinking bout somebody else 
"""Blurry""",everything blurry everyone fake everybody empty everything messed preoccupied without live whole world surround stumble crawl could someone could scene know protect obscene wonder imagine ocean far take away take away well shoved face pain gave take away take away well shoved face everyone changing one left real make ending let know feel cause lost without live whole world surround stumble crawl might also like could someone could scene know save unclean wonder wonder ocean far take away take away well shoved face pain gave take away take away well shoved face pain gave nobody told thought nobody told say everyone showed turn told run away nobody told hide nobody told say everyone showed turn showed run away take away take away well shoved face pain gave take away take away well shoved face pain gave pain gave pain gave take take away pain gave take away pain gave take away pain gave 
"""Complicated""",huh life like huh huh way cause life like huh huh way chill whatcha yellin lay back done could let would see like way drivin car talkin one one become somebody else round everyone else watchin back like relax tryna cool look like fool tell make thing complicated see way actin like somebody else get frustrated life like fall crawl break take get turn honesty promise never gon find fake might also like come unannounced dressed like somethin else see makin laugh strike pose take preppy clothes know foolin anyone become somebody else round everyone else watchin back like relax tryna cool look like fool tell make thing complicated see way actin like somebody else get frustrated life like fall crawl break take get turn honesty promise never gon find fake chill whatcha yellin lay back done could let see somebody else round everyone else watchin back like relax tryin cool look like fool tell make thing complicated see way actin like somebody else get frustrated life like fall crawl break take get turn honesty promise never gon find fake make thing complicated yeah see way actin like somebody else get frustrated life like fall crawl break take get turn honesty promise never gon find fake 
"""Always on Time""",always call buckshot heh heh always time gave baby mine always call always time gave baby baby always call always time gave baby mine yeah yeah always call huh always time holla back gave beyotch heh heh baby mine mon get piece late night lover know one swing dick like shit know got lot thing need explain baby know name love pain stop complaint drop order restraint sex life game back paint cause wait cause quarter past three shorty eyein got bentley valeted outside jersey past palisade love see as boot shade throw bed yanking braid thug style never thought make smile smackin as fucking wild share something rare care care might also like baby always call always time gave baby mine always call always time gave baby mine girl get grip mon pull together sunshower worse weather like stormy night wrote dear letter took benz keyed cut leather bitch know better live money bitch murder got two three hoe every keep drugged ecstasy playground legend like kirkland pee wee name nigga league got game play hard many woman fathered meet scar send home hot bothered truth dare life apparently fair love glare crystal stare share something rare care care baby always call always time gave baby mine always call always time yeah gave baby mine feelin like livin double life cause coming home sometimes baby always time checking one time got special bond together back like bomber boo coldest weather play play way freak baby fuck crazy gone baby really want get leave easy wakin wet sheezy remind bitch mind business believe pimp game religious built like bishop gon keep money green benz hoe witness life share thug affair care care baby always call always time gave baby mine always call always time gave baby mine always call always time gave baby mine always call always time gave baby mine play nothing hit nothing hit nothing motherfucking hit 
"""Ain't It Funny (Murder Remix)""",murda inc haha must as got like damn get fatter man rule gon get situation matter come make smile freakiest manner hello lee harvey oswald rule shot call wall like early day inc lopez funny since came around wan see goin tryna tell want time tryna tell mind mind see never way never played game played seein kind lame knowin situation change funny funny baby want love crazy smile say funny funny baby want love crazy glad smile say funny might also like remember walked away even tried call name see first understand lookin like lonely man lonely man remember wrong hurtin cause love gone everybody get chance burn take lesson learned funny funny baby want love crazy smile say funny funny baby want love crazy glad smile say funny double double dose fly red line testarossa never sucker chocha spit ism hit get rid know tah get gully funny want see workin money caddy dummy brodies want cause got murda really wish send gift tryna make sit reminisce tryna blind blinging bling thought told love cost thing love cost thing hope realize ever wan hear enough bein laughin play fool funny funny baby want love crazy smile say funny funny baby want love crazy glad smile say funny baby girlfriend got boyfriend maybe friend nah nah nah funny baby got boyfriend girlfriend maybe friend nah nah nah 
"""The Middle""",hey write yet head feel left looked try best try everything worry tell away take time little girl middle ride everything everything fine everything everything alright alright hey know know better buy live right yeah matter good enough good enough someone else take time little girl middle ride everything everything fine everything everything alright alright take time little girl middle ride everything everything fine everything everything alright alright woo might also like hey write yet head feel left feel left looked best best everything everything worry bitter heart bitter heart gon say take time little girl middle ride everything everything fine everything everything alright alright take time little girl middle ride everything everything fine everything everything alright 
