,Lyrics
"""Mama Told Me (Not to Come)""",want whiskey water sugar tea crazy question askin craziest party could ever turn light cause wan see mama told come mama told come way fun open window let air room think almost chokin smell stale perfume cigarette smokin bout scared half death open window sucker let catch breath might also like mama told come mama told come way fun son way fun son said yeah radio blastin someone knockin door lookin girlfriend passed floor seen many thing never seen know wan see mama told come mama told come said way fun son way fun mama told mama told mama told told told mama told told whoa yeah yeah mama told mama mama told mama told surrender way fun way fun son way fun way fun son way fun way fun son way fun way fun son 
"""Everything Is Beautiful""",jesus love little child little child world red yellow black white precious sight jesus love little child world everything beautiful way like starry summer night snow covered winter day everybody beautiful way god heaven world gon find way none blind see must close mind must let thought free every hour pass know world get little bit older time realize beauty lie eye beholder might also like everything beautiful way like starry summer night snow covered winter day sing child everybody beautiful way god heaven world gon find way care length hair color skin worry show without love life within gon get together everything gon work fine take little time look good side friend straighten mind everything beautiful way like starry summer night snow covered winter day sing child everybody beautiful way god heaven world gon find way one time everything beautiful way like starry summer 
"""Make It with You""",hey ever tried really reaching side may climbing rainbow baby go dream sleep life keep wondering leading wan make really think could make girl know well every little thing time tell believe thing see life short long love right wrong chose one like help might also like like make really think could make girl baby know dream sleep life keep chose one like help like make really think could make 
"""Hitchin' a Ride""",thumb go car go nearly hitchin ride hitchin ride got get home mornin light got fare ride train nearly drownin pourin rain hitchin ride hitchin ride got get home baby side ride ride ride hitchin ride ride ride ride hitchin ride long distance call got today sounded lonely way hitchin ride hitchin ride got get home keep satisfied ride ride ride hitchin ride ride ride ride hitchin ride might also like thumb go car go somebody stop help guy hitchin ride hitchin ride away long baby side ride ride ride hitchin ride ride ride ride hitchin ride ride ride ride ride 
"""ABC""",buh buh buh buh buh buh buh buh went school learn girl thing never never knew like except two plus two make four gon teach teach teach love yeah love sit take seat got repeat easy simple baby girl easy simple baby girl come let love little bit come let love little bit gon teach sing come come come let show might also like reading writing rithmetic branch learning tree without root love every day girl education complete teacher gon show show show get nyah nyah nyah nyah spell add two listen baby got easy simple baby girl easy like counting three sing simple melody easy love easy love sing simple melody yeah sit girl think love get girl show shake shake baby come shake shake baby ooh ooh shake shake baby huh baby ooh ooh baby nah nah baby huh easy love easy like counting three sing simple melody easy love gon teach sing come come come let show easy like counting three sing simple melody easy love gon teach sing sing sing baby easy like counting three sing simple melody easy 
"""The Love You Save""
",stop better save stop stop stop better save played tag grade school wanted chasing boy fad crossed heart quit grew traded promise ring like back grade school old thing stop love save may darling take slow someday alone better stop love save may darling look way cross headed danger zone one love one need guy put soon succeed might also likethey ruin reputation label flirt way talk turn name dirt isaac said kissed beneath apple tree benji held hand felt electricity alexander called said rang chime christopher discovered way ahead time stop love save may darling take slow someday alone better stop love save may darling look way cross headed danger zone slow slow slow slow save take slow please please love save may day may alone stop save girl baby ooh better stop love save may please please someday someday baby alone one love one need guy put soon succeed stop love save may baby better stop stop stop girl someday alone way talk turn name turn name dirt stop love save may cha know cha know someday baby alone wait guy put soon succeed 
"""Cracklin' Rosie""",gon ride till taking slow lord know time poor man lady hitchin twilight train nothing care take along maybe song sing want need say please man happy tune love rosie child got way make happy style cracklin rose store bought woman make sing like guitar hummin hang girl song keep runnin play play play baby cracklin rosie make smile girl last hour right got night set world right find dream ask question yeah might also likeoh love rosie child got way make happy style cracklin rose store bought woman make sing like guitar hummin hang girl song keep runnin play play play baby cracklin rosie make smile girl last hour right got night set world right find dream ask question 
"""Candida""",dawn star come know cause match glow eye ordinary guy tryin hard win first prize candida could make together girl better air fresh clean candida take hand lead promise life sweeter cause said dream future look bright gypsy told last night said saw child playing sunshine house baby lie thing mine might also 
"""Thank You (Falettinme Be Mice Elf Agin)""",lookin devil grinnin gun finger start shakin begin run bullet start chasin begin stop begin wrastle top want thank falettinme mouse elf agin thank falettinme mouse elf agin stiff collar fluffy face chit chat chatter tryin stuffy place thank party could never stay many thangs mind word way might also like want thank falettinme mouse elf agin thank falettinme mouse elf agin dance music nite long everyday people sing simple song mama happy mama start cry papa still singin make try want thank falettinme mouse elf agin different stroke different folk yeah thank falettinme mouse elf agin flamin eye people fear burnin many men missin much hatin youth truth makin love dig starter dyin young hard take sellin harder thank falettinme mouse elf agin want thank falettinme mouse elf agin thank falettinme mouse elf agin thank falettinme mouse elf agin want thank falettinme mouse elf agin 
"""Spill the Wine""",strolling one hot summer day thought lay rest big field tall grass lay sun felt caressing face fell asleep dreamed dreamed hollywood movie yes star movie really blew mind fact overfed long haired leaping gnome star hollywood movie hmm mmm taken place hall mountain king stood high mountaintop naked world front every kind girl long one tall one short one brown one black one round one big one crazy one might also like middle came lady whispered ear something crazy said spill wine take pearl spill wine take pearl spill wine take pearl spill wine take pearl thought could mean going crazy dream wait minute know lying field grass somewhere head heard say one time spill wine take pearl spill wine take pearl spill wine take pearl spill wine take pearl could feel hot flame fire roaring back disappeared soon returned hand bottle wine glass poured wine bottle glass raised lip drank said take wine take pearl spill wine take pearl spill wine take pearl come come spill wine take pearl take pearl yeah got spill wine spill wine let feel let feel funky yeah come spill wine spill wine spill wine spill wine spill wine spill wine spill wine take pearl ooh 
"""O-o-h Child""",ooh child thing gon get easier ooh child thing get brighter ooh child thing gon get easier ooh child thing get brighter day yeah get together get done day head much lighter day yeah walk ray beautiful sun day world much brighter ooh child thing gon easier ooh child thing get brighter ooh child thing gon easier ooh child thing get brighter might also like day yeah get together get done day head much lighter day yeah walk ray beautiful sun day world much brighter day yeah get together get done day head much lighter day yeah walk ray beautiful sun day world much brighter ooh child thing gon get easier ooh child thing get brighter ooh child thing gon get easier ooh child thing get brighter right right wait see thing gon 
