,Lyrics
"""Bridge Over Troubled Water""",weary feeling small tear eye dry side time get rough friend found like bridge troubled water lay like bridge troubled water lay street evening fall hard comfort take part darkness come pain around like bridge troubled water lay like bridge troubled water lay might also like sail silver girl sail time come shine dream way see shine need friend sailing right behind like bridge troubled water ease mind like bridge troubled water ease mind 
"""(They Long to Be) Close to You""",cape good hope watery region round much like noted four corner great highway meet traveller part long speaking goney another homeward bound whaleman town encountered manned almost wholly polynesian short gam ensued gave strong news moby dick general interest white whale wildly heightened circumstance town story seemed obscurely involve whale certain wondrous inverted visitation one called judgment god time said overtake men latter circumstance particular accompaniment forming may called secret part tragedy narrated never reached ear captain ahab mate secret part story unknown captain town private property three confederate white seaman ship one seems communicated tashtego romish injunction secrecy following night tashtego rambled sleep revealed much way wakened could well withhold rest nevertheless potent influence thing seaman pequod came full knowledge strange delicacy call governed matter kept secret among never transpired abaft pequod main mast interweaving proper place darker thread story publicly narrated ship whole strange affair proceed put lasting record ancient whale cry upon first sighting whale mast head still used whalemen hunting famous gallipagos terrapin humor sake shall preserve style narrated lima lounging circle spanish friend one saint eve smoking upon thick gilt tiled piazza golden inn fine cavalier young don pedro sebastian closer term hence interluding question occasionally put duly answered time two year prior first learning event rehearsing gentleman town sperm whaler nantucket cruising pacific many day sail eastward eaves good golden inn somewhere northward line one morning upon handling pump according daily usage observed made water hold common supposed sword fish stabbed gentleman captain unusual reason believing rare good luck awaited latitude therefore averse quit leak considered dangerous though indeed could find searching hold low possible rather heavy weather ship still continued cruisings mariner working pump wide easy interval good luck came day went leak yet undiscovered sensibly increased much taking alarm captain making sail stood away nearest harbor among island hull hove repaired though small passage yet commonest chance favoured fear ship would founder way pump best periodically relieved six thirty men could easily keep ship free never mind leak double truth well nigh whole passage attended prosperous breeze town certainly arrived perfect safety port without occurrence least fatality brutal overbearing radney mate vineyarder bitterly provoked vengeance steelkilt lakeman desperado buffalo lakeman buffalo pray lakeman buffalo said sebastian rising swinging mat grass eastern shore lake erie crave courtesy may shall soon hear gentleman square sail brig three masted ship well nigh large stout ever sailed old callao far manilla lakeman land locked heart america yet nurtured agrarian freebooting impression popularly connected open ocean interflowing aggregate grand fresh water sea erie ontario huron superior michigan posse ocean like expansiveness many ocean noblest trait many rimmed variety race clime contain round archipelago romantic isle even polynesian water large part shored two great contrasting nation atlantic furnish long maritime approach numerous territorial colony east dotted round bank frowned upon battery goat like craggy gun lofty mackinaw heard fleet thunderings naval victory interval yield beach wild barbarian whose red painted face flash peltry wigwam league league flanked ancient unentered forest gaunt pine stand like serried line king gothic genealogy wood harboring wild afric beast prey silken creature whose exported fur give robe tartar emperor mirror paved capital buffalo cleveland well winnebago village float alike full rigged merchant ship armed cruiser state steamer beech canoe swept borean dismasting blast direful lash salted wave know shipwreck sight land however inland drowned full many midnight ship shrieking crew thus gentleman though inlander steelkilt wild ocean born wild ocean nurtured much audacious mariner radney though infancy may laid lone nantucket beach nurse maternal sea though life long followed austere atlantic contemplative pacific yet quite vengeful full social quarrel backwoods seaman fresh latitude buck horn handled bowie knife yet nantucketer man good hearted trait lakeman mariner though sort devil indeed might yet inflexible firmness tempered common decency human recognition meanest slave right thus treated steelkilt long retained harmless docile event proved thus far radney doomed made mad steelkilt gentleman shall hear day two furthest pointing prow island town leak seemed increasing require hour pump every day must know settled civilized ocean like atlantic example skipper think little pumping whole way across though still sleepy night officer deck happen forget duty respect probability would shipmate would never remember account hand gently subsiding bottom solitary savage sea far westward gentleman altogether unusual ship keep clanging pump handle full chorus even voyage considerable length lie along tolerably accessible coast reasonable retreat afforded leaky vessel way part water really landless latitude captain begin feel little anxious much way town leak found gaining truth small concern manifested several company especially radney mate commanded upper sail well hoisted sheeted home anew every way expanded breeze radney suppose little coward little inclined sort nervous apprehensiveness touching person fearless unthinking creature land sea conveniently imagine gentleman therefore betrayed solicitude safety ship seaman declared account part owner working evening pump head small gamesomeness slily going among stood foot continually overflowed rippling clear water clear mountain spring gentleman bubbling pump ran across deck poured steady spout lee scupper hole well know seldom case conventional world watery otherwise person placed command fellow men find one significantly superior general pride manhood straightway man conceives unconquerable dislike bitterness chance pull pulverize subaltern tower make little heap dust conceit mine may gentleman event steelkilt tall noble animal head like roman flowing golden beard like tasseled housing last viceroy snorting charger brain heart soul gentleman made steelkilt charlemagne born son charlemagne father radney mate ugly mule yet hardy stubborn malicious love steelkilt steelkilt knew espying mate drawing near toiling pump rest lakeman affected notice unawed went gay banterings aye aye merry lad lively leak hold cannikin one let taste lord worth bottling tell men old rad investment must best cut away part hull tow home fact boy sword fish began job come back gang ship carpenter saw fish file fish whole posse hard work cutting slashing bottom making improvement suppose old rad tell jump overboard scatter playing devil estate tell simple old soul rad beauty boy say rest property invested looking glass wonder give poor devil like model nose damn eye pump stopping roared radney pretending heard sailor talk thunder away aye aye sir said steelkilt merry cricket lively boy lively pump clanged like fifty fire engine men tossed hat ere long peculiar gasping lung heard denotes fullest tension life utmost energy quitting pump last rest band lakeman went forward panting sat windlass face fiery red eye bloodshot wiping profuse sweat brow cozening fiend gentleman possessed radney meddle man corporeally exasperated state know happened intolerably striding along deck mate commanded get broom sweep plank also shovel remove offensive matter consequent upon allowing pig run large gentleman sweeping ship deck sea piece household work time raging gale regularly attended every evening known done case ship actually foundering time gentleman inflexibility sea usage instinctive love neatness seaman would willingly drown without first washing face vessel broom business prescriptive province boy boy aboard besides stronger men town divided gang taking turn pump athletic seaman steelkilt regularly assigned captain one gang consequently freed trivial business connected truly nautical duty case comrade mention particular may understand exactly affair stood two men order shovel almost plainly meant sting insult steelkilt though radney spat face man gone sailor whale ship understand doubtless much lakeman fully comprehended mate uttered command sat still moment steadfastly looked mate malignant eye perceived stack powder cask heaped slow match silently burning along towards instinctively saw strange forbearance unwillingness stir deeper passionateness already ireful repugnance felt felt really valiant men even aggrieved nameless phantom feeling gentleman stole steelkilt therefore ordinary tone little broken bodily exhaustion temporarily answered saying sweeping deck business would without alluding shovel pointed three lad customary sweeper billeted pump done little nothing day radney replied oath domineering outrageous manner unconditionally reiterating command meanwhile advancing upon still seated lakeman uplifted cooper club hammer snatched cask near heated irritated spasmodic toil pump first nameless feeling forbearance sweating steelkilt could ill brook bearing mate somehow still smothering conflagration within without speaking remained doggedly rooted seat till last incensed radney shook hammer within inch face furiously commanding bidding steelkilt rose slowly retreating round windlass steadily followed mate menacing hammer deliberately repeated intention obey seeing however forbearance slightest effect awful unspeakable intimation twisted hand warned foolish infatuated man purpose way two went slowly round windlass resolved last longer retreat bethinking forborne much comported humor lakeman paused hatch thus spoke officer radney obey take hammer away look predestinated mate coming still closer lakeman stood fixed shook heavy hammer within inch teeth meanwhile repeating string insufferable malediction retreating thousandth part inch stabbing eye unflinching poniard glance steelkilt clenching right hand behind creepingly drawing back told persecutor hammer grazed cheek steelkilt would murder gentleman fool branded slaughter god immediately hammer touched cheek next instant lower jaw mate stove head fell hatch spouting blood like whale ere cry could aft steelkilt shaking one backstay leading far aloft two comrade standing masthead canallers canallers cried pedro seen many whale ship harbour never heard canallers pardon canallers boatman belonging grand erie canal must heard nay senor hereabouts dull warm lazy hereditary land know little vigorous north aye well refill cup chicha fine ere proceeding tell canallers information may throw side light upon story three hundred sixty mile gentleman entire breadth state new york numerous populous city thriving village long dismal uninhabited swamp affluent cultivated field unrivalled fertility billiard room bar room holy holy great forest roman arch indian river sun shade happy heart broken wide contrasting scenery noble mohawk county especially row snow white chapel whose spire stand almost like milestone flow one continual stream venetianly corrupt often lawless life true ashantee gentleman howl pagan ever find next door long flung shadow snug patronising lee church curious fatality often noted metropolitan freebooter ever encamp around hall justice sinner gentleman abound holiest vicinity friar passing said pedro looking downwards crowded plazza humorous concern well northern friend dame isabella inquisition wane lima laughed sebastian proceed senor moment pardon cried another company name limeese desire express sir sailor mean overlooked delicacy substituting present lima distant venice corrupt comparison bow look surprised know proverb along coast corrupt lima bear saying church plentiful billiard table ever open corrupt lima venice holy city blessed evangelist mark dominic purge cup thanks refill pour freely depicted vocation gentleman canaller would make fine dramatic hero abundantly picturesquely wicked like mark antony day day along green turfed flowery nile indolently float openly toying red cheeked cleopatra ripening apricot thigh upon sunny deck ashore effeminacy dashed brigandish guise canaller proudly sport slouched gaily ribboned hat betoken grand feature terror smiling innocence village float swart visage bold swagger unshunned city vagabond canal received good turn one canallers thank heartily would fain ungrateful often one prime redeeming quality man violence time stiff arm back poor stranger strait plunder wealthy one sum gentleman wildness canal life emphatically evinced wild whale fishery contains many finished graduate scarce race mankind except sydney men much distrusted whaling captain diminish curiousness matter many thousand rural boy young men born along line probationary life grand canal furnishes sole transition quietly reaping christian corn field recklessly ploughing water barbaric sea see see impetuously exclaimed pedro spilling chicha upon silvery ruffle need travel world one lima thought temperate north generation cold holy hill story left gentleman lakeman shook backstay hardly done surrounded three junior mate four harpooneer crowded deck sliding rope like baleful comet two canallers rushed uproar sought drag man towards forecastle others sailor joined attempt twisted turmoil ensued standing harm way valiant captain danced whale pike calling upon officer manhandle atrocious scoundrel smoke along quarter deck interval ran close revolving border confusion prying heart pike sought prick object resentment steelkilt desperado much succeeded gaining forecastle deck hastily slewing three four large cask line windlass sea parisian entrenched behind barricade come pirate roared captain menacing pistol hand brought steward come cut throat steelkilt leaped barricade striding defied worst pistol could gave captain understand distinctly steelkilt death would signal murderous mutiny part hand fearing heart lest might prove true captain little desisted still commanded insurgent instantly return duty promise touch demanded ringleader turn turn make promise duty want sink ship knocking time like turn raised pistol sink ship cried steelkilt aye let sink man turn unless swear raise rope yarn say men turning comrade fierce cheer response lakeman patrolled barricade keeping eye captain jerking sentence fault want told take hammer away boy business might known told prick buffalo believe broken finger cursed jaw mincing knife forecastle men look handspike hearties captain god look say word fool forget ready turn treat decently men flogged turn make promise turn say look cried lakeman flinging arm towards one shipped cruise see well know sir claim discharge soon anchor want row interest want peaceable ready work flogged turn roared captain steelkilt glanced round moment said tell captain rather kill hung shabby rascal lift hand unless attack till say word flogging hand turn forecastle keep till sick shall cried ringleader men length obedience steelkilt preceded dark den growlingly disappearing like bear cave lakeman bare head level plank captain posse leaped barricade rapidly drawing slide scuttle planted group hand upon loudly called steward bring heavy brass padlock belonging companionway opening slide little captain whispered something crack closed turned key upon ten number leaving deck twenty thus far remained neutral night wide awake watch kept officer forward aft especially forecastle scuttle fore hatchway last place feared insurgent might emerge breaking bulkhead hour darkness passed peace men still remained duty toiling hard pump whose clinking clanking interval dreary night dismally resounded ship sunrise captain went forward knocking deck summoned prisoner work yell refused water lowered couple handful biscuit tossed turning key upon pocketing captain returned quarter deck twice every day three day repeated fourth morning confused wrangling scuffling heard customary summons delivered suddenly four men burst forecastle saying ready turn fetid closeness air famishing diet united perhaps fear ultimate retribution constrained surrender discretion emboldened captain reiterated demand rest steelkilt shouted terrific hint stop babbling betake belonged fifth morning three others mutineer bolted air desperate arm sought restrain three left better turn said captain heartless jeer shut cried steelkilt certainly captain key clicked point gentleman enraged defection seven former associate stung mocking voice last hailed maddened long entombment place black bowel despair steelkilt proposed two canallers thus far apparently one mind burst hole next summoning garrison armed keen mincing knife long crescentic heavy implement handle end run amuck bowsprit taffrail devilishness desperation possible seize ship would said whether joined last night spend den scheme met opposition part two swore ready mad thing anything short surrender insisted upon first man deck time make rush come leader fiercely objected reserving priority particularly two comrade would yield one matter could first ladder would admit one man time gentleman foul play miscreant must come upon hearing frantic project leader separate soul suddenly lighted would seem upon piece treachery namely foremost breaking order first three though last ten surrender thereby secure whatever small chance pardon conduct might merit steelkilt made known determination still lead last way subtle chemistry villany mixed secret treachery together leader fell doze verbally opened soul three sentence bound sleeper cord gagged cord shrieked captain midnight thinking murder hand smelling dark blood armed mate harpooneer rushed forecastle minute scuttle opened bound hand foot still struggling ringleader shoved air perfidious ally claimed honour securing man fully ripe murder collared dragged along deck like dead cattle side side seized mizzen rigging like three quarter meat hung till morning damn cried captain pacing fro vulture would touch villain sunrise summoned hand separating rebelled taken part mutiny told former good mind flog round thought upon whole would ought justice demanded present considering timely surrender would let reprimand accordingly administered vernacular carrion rogue turning three men rigging mean mince try pot seizing rope applied might back two traitor till yelled lifelessly hung head sideways two crucified thief drawn wrist sprained cried last still rope enough left fine bantam give take gag mouth let hear say moment exhausted mutineer made tremulous motion cramped jaw painfully twisting round head said sort hiss say mind well flog murder say see frighten captain drew rope strike best hissed lakeman must rope drawn back stroke steelkilt hissed something inaudible captain amazement hand started back paced deck rapidly two three time suddenly throwing rope said let cut hear junior mate hurrying execute order pale man bandaged head arrested radney chief mate ever since blow lain berth morning hearing tumult deck crept thus far watched whole scene state mouth could hardly speak mumbling something willing able captain dared attempt snatched rope advanced pinioned foe coward hissed lakeman take mate act striking another hiss stayed uplifted arm paused pausing made good word spite steelkilt threat whatever might three men cut hand turned sullenly worked moody seaman iron pump clanged dark day one watch retired clamor heard forecastle two trembling traitor running besieged cabin door saying durst consort crew entreaty cuff kick could drive back instance put ship run salvation still sign mutiny reappeared among rest contrary seemed mainly steelkilt instigation resolved maintain strictest peacefulness obey order last ship reached port desert body order insure speediest end voyage agreed another thing namely sing whale case discovered spite leak spite peril town still maintained mast head captain willing lower fish moment day craft first struck cruising ground radney mate quite ready change berth boat bandaged mouth seek gag death vital jaw whale though lakeman induced seaman adopt sort passiveness conduct kept counsel least till concerning proper private revenge upon man stung ventricle heart radney chief mate watch infatuated man sought run half way meet doom scene rigging insisted express counsel captain upon resuming head watch night upon one two circumstance steelkilt systematically built plan revenge night radney unseamanlike way sitting bulwark quarter deck leaning arm upon gunwale boat hoisted little ship side attitude well known sometimes dozed considerable vacancy boat ship sea steelkilt calculated time found next trick helm would come round two clock morning third day betrayed leisure employed interval braiding something carefully watch making said shipmate think look like like lanyard bag odd one seems yes rather oddish said lakeman holding arm length think answer shipmate enough twine none forecastle must get old rad rose aft mean begging said sailor think turn help end shipmate going mate looked quietly asked twine mend hammock given neither twine lanyard seen next night iron ball closely netted partly rolled pocket lakeman monkey jacket tucking coat hammock pillow twenty four hour trick silent helm nigh man apt doze grave always ready dug seaman hand fatal hour come fore ordaining soul steelkilt mate already stark stretched corpse forehead crushed gentleman fool saved would murderer bloody deed planned yet complete revenge without avenger mysterious fatality heaven seemed step take hand damning thing would done daybreak sunrise morning second day washing deck stupid teneriffe man drawing water main chain shouted roll roll jesu whale moby dick moby dick cried sebastian dominic sir sailor whale christening call moby dick white famous deadly immortal monster would long story cried young spaniard crowding nay don don nay nay rehearse let get air sir chicha chicha cried pedro vigorous friend look faint fill empty glass need gentleman one moment proceed gentleman suddenly perceiving snowy whale within fifty yard ship forgetful compact among crew excitement moment teneriffe man instinctively involuntarily lifted voice monster though little time past plainly beheld three sullen mast head phrensy white whale white whale cry captain mate harpooneer undeterred fearful rumour anxious capture famous precious fish dogged crew eyed askance curse appalling beauty vast milky mass lit horizontal spangling sun shifted glistened like living opal blue morning sea gentleman strange fatality pervades whole career event verily mapped world charted mutineer bowsman mate fast fish duty sit next radney stood lance prow haul slacken line word command moreover four boat lowered mate got start none howled fiercely delight steelkilt strained oar stiff pull harpooneer got fast spear hand radney sprang bow always furious man seems boat bandaged cry beach whale topmost back nothing loath bowsman hauled blinding foam blent two whiteness together till sudden boat struck sunken ledge keeling spilled standing mate instant fell whale slippery back boat righted dashed aside swell radney tossed sea flank whale struck spray instant dimly seen veil wildly seeking remove eye moby dick whale rushed round sudden maelstrom seized swimmer jaw rearing high plunged headlong went meantime first tap boat bottom lakeman slackened line drop astern whirlpool calmly looking thought thought sudden terrific downward jerking boat quickly brought knife line cut whale free distance moby dick rose tatter radney red woollen shirt caught teeth destroyed four boat gave chase whale eluded finally wholly disappeared good time town reached port savage solitary place civilized creature resided headed lakeman five six foremastmen deliberately deserted among palm eventually turned seizing large double war canoe savage setting sail harbor ship company reduced handful captain called upon islander assist laborious business heaving ship stop leak unresting vigilance dangerous ally small band white necessitated night day extreme hard work underwent upon vessel ready sea weakened condition captain durst put heavy vessel taking counsel officer anchored ship far shore possible loaded ran two cannon bow stacked musket poop warning islander approach ship peril took one man setting sail best whale boat steered straight wind tahiti five hundred mile distant procure reinforcement crew fourth day sail large canoe descried seemed touched low isle coral steered away savage craft bore soon voice steelkilt hailed heave would run water captain presented pistol one foot prow yoked war canoe lakeman laughed scorn assuring pistol much clicked lock would bury bubble foam want cried captain bound bound demanded steelkilt lie bound tahiti men good let board moment come peace leaped canoe swam boat climbing gunwale stood face face captain cross arm sir throw back head repeat soon steelkilt leaf swear beach boat yonder island remain six day may lightning strike pretty scholar laughed lakeman adios senor leaping sea swam back comrade watching boat till fairly beached drawn root cocoa nut tree steelkilt made sail due time arrived tahiti place destination luck befriended two ship sail france providentially want precisely number men sailor headed embarked ever got start former captain minded work legal retribution ten day french ship sailed whale boat arrived captain forced enlist civilized tahitian somewhat used sea chartering small native schooner returned vessel finding right resumed cruisings steelkilt gentleman none know upon island nantucket widow radney still turn sea refuse give dead still dream see awful white whale destroyed said sebastian quietly entreat tell best conviction story substance really true passing wonderful get unquestionable source bear seem press also bear sir sailor join sebastian suit cried company exceeding interest copy holy evangelist golden inn gentleman nay said sebastian know worthy priest near quickly procure one well advised may grow serious good bring priest also though auto lima said one company another fear sailor friend run risk archiepiscopacy let withdraw moonlight see need excuse running sebastian may also beg particular procuring largest sized evangelist priest brings evangelist said sebastian gravely returning tall solemn figure let remove hat venerable priest light hold holy book may touch help heaven honour story told gentleman substance great item true know true happened ball trod ship knew crew seen talked steelkilt since death radney 
"""American Woman""",american woman gon mess mind american woman gon mess mind american woman gon mess mind american woman gon mess mind say say say say say say mmm american woman gon mess mind mmm american woman gon mess mind american woman gon mess mind american woman stay away american woman mama let come hangin around door wan see face got important thing spend time growin old woman said stay away american woman listen say might also like american woman get away american woman mama let come knockin around door wan see shadow coloured light hypnotize sparkle someone else eye woman said get away american woman listen say hey american woman said get away american woman listen say come hangin around door wan see face need war machine need ghetto scene coloured light hypnotize sparkle someone else eye woman get away american woman mama let got get away got get away gon leave woman gon leave woman bye bye bye bye bye bye bye bye good good gon look right eye tell gon know gon leave know gon know gon leave know gon woman gon leave woman goodbye american woman goodbye american chick 
"""Raindrops Keep Fallin' on My Head""",raindrop fallin head like guy whose foot big bed nothin seems fit raindrop fallin head keep fallin talkin sun said like way got thing done sleepin job raindrop fallin head keep fallin one thing know blue send meet defeat long til happiness step greet raindrop keep fallin head mean eye soon turnin red cry cause never gon stop rain complainin free nothing worryin might also like long til happiness step greet raindrop keep fallin head mean eye soon turnin red cryin cause never gon stop rain complainin free nothing worryin 
"""War""",war huh yeah good absolutely nothing uhuh war huh yeah good absolutely nothing say war huh lookout good absolutely nothing listen awwwww war despise cause mean destruction innocent life war mean tear thousand mother eye son fight lose life said war huh good god good absolutely nothing say war huh lord lord lord lord good absolutely nothing listen war nothing heartbreaker war friend undertaker awwww war enemy mankind thought war blow mind war caused unrest within younger generation induction destruction want die awwww might also like war huh good god good absolutely nothing say say say war huh ohh yeah huh good absolutely nothing listen war nothing heartbreaker war got one friend undertaker awwww war shattered many young men dream made disabled bitter mean life much short precious fighting war day war give life take away awwww war huh good god good absolutely nothing say war huh lord lord lord lord good absolutely nothing listen war nothing heartbreaker war friend undertaker woooo peace love understanding tell place today say must fight keep freedom lord know got better way ooohhh war huh good god good tell say say say say war huh good god good stand shout nothing 
"""Ain't No Mountain High Enough""",aaaah aaah aaaah ooh oooh ooh aaaah aaah aaaah ooh oooh ooh need call matter matter far call name hurry depend never worry see love alive like seed need thought grow feel need company please darling let aah aah ooh aaah aah aaah aah aah oooh ooh might also like may able express depth love feel writer put nicely away one loved sat wrote word wind wind rain rain winter cold stop babe babe baby daby goal wind wind rain rain stop babe goal aah aah aah aaah ooh aah aaah aah oooh ooh know know must follow sun wherever lead remember fall short desire remember life hold one guarantee always miss lovin one old day ever miss arm used hold close lip used touch tenderly remember told day set free mountain high enough aah valley low enough ooh river wide enough keep mountain high enough valley low enough say river wide enough hey hey keep mountain high enough nothing keep keep mountain high enough nothing keep keep mountain high enough valley low enough say river wide enough keep ooh mountain high enough mountain high enough valley low enough river wide enough nothing keep keep mountain high enough nothing world valley low enough nothing world river wide enough keep babe keep mountain high enough call name valley low enough hurry river wide enough call name keep right mountain high enough mountain high enough valley low enough river wide enough nothing keep keep mountain high enough ooh valley low enough say river wide enough say like feel keep mountain high enough wind rain valley low enough stop 
"""I'll Be There""",must make pact must bring salvation back love reach hand faith call name comfort build world dream around glad found love strong strength keep holding holdin holdin holdin yes yes let fill heart joy laughter togetherness girl whenever need protect yeah baby unselfish love respect call name comfort build world dream around glad found love strong strength keep holding hoo hoo holdin holdin holdin yes yes might also like ever find someone new know better good cause know baby yeah yeah call name look shoulder honey ooh whenever need know baby yeah yeah call name ooh ooh ooh ooh 
"""Get Ready""",never met girl could make feel way alright whenever asked make dream real tell outta sight well twiddley dee twiddley dum look baby cause come bringing love true get ready get ready get ready start makin love get ready get ready get ready know comin get ready cause come way get ready cause come wan play hide seek love let remind alright lovin gon miss time take find outta sight might also like well fee fum look baby come bringing love true get ready get ready get ready start makin love get ready get ready get ready know comin get ready cause come way yeah get ready cause come well friend want think understand alright hope get cause planned outta sight well twiddley dee twiddley dum look baby come bringing love true get ready get ready get ready start makin love get ready get ready get ready know comin get ready cause come way yeah get ready cause come mmhmmhmm get ready cause come get ready cause come get ready get ready cause come get ready get ready cause come 
"""Let It Be""",find time trouble mother mary come speaking word wisdom let hour darkness standing right front speaking word wisdom let let let let let whisper word wisdom let broken hearted people living world agree answer let though may parted still chance see answer let might also like let let let let yeah answer let let let let let whisper word wisdom let let let let yeah let whisper word wisdom let night cloudy still light shine shine tomorrow let wake sound music mother mary come speaking word wisdom let yeah let let let yeah let answer let let let let yeah let answer let let let let yeah let whisper word wisdom let 
"""Band of Gold""",gone left band gold left dream hold band gold memory love could still took shelter mother never known love kissed taking vow night honeymoon stayed separate room wait darkness lonely room filled sadness filled gloom hoping soon walk back door love like tried since gone left band gold left dream hold band gold dream love could might also like ohhhhhhhhh know wait darkness lonely room filled sadness filled gloom hoping soon walk back door love like tried since gone left band gold left dream hold band gold dream love could still since gone left band 
