,Lyrics
"""How Am I Supposed to Live Without You""",could hardly believe heard news today come get straight said leavin someone swept heart away look upon face see true tell tell bout plan makin tell one thing tell supposed live without loving long supposed live without supposed carry livin gone proud cryin come break dream mine coming end blame built world around hope one day much friend wan know price gon pay dreaming even take might also like tell supposed live without loving long supposed live without supposed carry livin gone wan know price gon pay dreaming dream come true tell supposed live without lovin long supposed live without supposed carry livin gone 
"""Pump Up the Jam""",pump jam pump foot stomping jam pumping look ahead crowd jumpin pump little get party goin dance floor see cause party find awa place stay get booty floor tonight make day awa place stay get booty floor tonight make day make day make day make day make day pump jam pump foot stomping jam pumping look ahead crowd jumpin pump little get party goin dance floor see cause party find might also like awa place stay get booty floor tonight make day awa place stay get booty floor tonight make day make day make make day make day make day make make make day pump jam pump pump pump pump jam pump pump pump pump jam pump pump pump pump jam pump pump jam pump jam pump jam pump pump pump pump pump jam pump jam pump jam pump pump jam pump foot stomping jam pumping look crowd jumpin pump little get party goin dance floor see cause party find bad awa place stay get booty floor tonight make day awa place stay get booty floor tonight make day pump jam pump pump pump pump jam pump pump pump jam pump pump pump pump jam pump pump jam pump pump pump pump jam pump pump pump jam pump pump pump pump jam pump pump pump make day make day make make make make day make day make day make make make make day awa place stay get booty floor tonight make day awa place stay get booty floor tonight make day awa place stay get booty floor tonight make day awa place stay get booty floor tonight make day 
"""Opposites Attract""",baby seems never ever agree like movie like take thing serious take light bed early party night friend saying gon last cause move slowly baby fast like quiet love shout get together work take two step forward take two step back come together cause opposite attract know fiction natural fact come together cause opposite attract thought could lover make bed steal cover like neat make mess take easy baby get obsessed got money always broke like cigarette like smoke thing common one get together nothin fun might also like take two step forward take two step back come together cause opposite attract know fiction natural fact come together cause opposite attract two step forward two step back come together cause opposite attract know fiction natural fact come together cause opposite attract know baby baby come together come together baby something lasted long proving everyone wrong think ever get difference patched really matter cause perfectly matched take two step forward take two step back come together cause opposite attract know fiction natural fact come together cause opposite attract two step forward two step back come together cause opposite attract know fiction natural fact come together cause opposite attract two step forward two step back two step back come together cause opposite opposite attract fiction know fact fact come together cause opposite opposite two step forward two step back two step back opposite attract together together two step forward two step back two step back 
"""Escapade""",walkin saw standin smile lookin shy caught eye thought want hang well like know friday hope find time weekend relax unwind mind tired worked hard week ooh week cashed check ready promise show good time come baby let get away let save trouble another day come got made let take escapade let pade good time pade leave worry behind pade well mine pade escapade might also like hold back good time make rule along break havin fun come baby let get away let save trouble another day come got made let take escapade escapade baby come baby let get away let save trouble another day come got made let take escapade let minneapolis come pade good time pade leave worry behind pade well mine pade escapade ooh mind tired ooh worked hard ooh worked hard week week got paid got made ready promise show good time come baby let get away baby come let save trouble another day save another day come got made baby come yeah let take escapade escapade baby take escapade come baby let get away baby come let save trouble another day save another day come got made escapade let take escapade let come baby let get away let save trouble another day come got made let take escapade escapade baby 
"""All I Wanna Do Is Make Love to You""",came sight standing road umbrella coat pulled along side offered ride accepted smile drove ask name lonely boy rain fate tell right love first sight please make wrong stay night wan make love say want wan make love got loving arm hold onto found hotel place knew well made magic night everything right might also likehe brought woman many time easily morning woke left note told flower seed walked garden planted tree try find please dare live memory always wan make love one night love knew wan make love got loving arm hold onto whoa made love love like stranger night long made love happened one day came round way imagine surprise saw eye said please please understand love another man give whoa one little thing wan make love one night love knew wan make love come say want wan make love one night love knew wan make love say baby want night long night long night long night long wan wan wan wan wan make love one night love 
"""Close to You""",jezebel miss brixton queen living life like bad sweet dream telling lie truth clear think knew wanted hear spinning around like wheel fire walking tightrope love highwire fatal attraction escaping wan close thing want wan close show way feel feel love lying midnight hour holding like dream love never seems touch holding way feel girl make dream come true make dream come true might also like wan close thing want wan close show way feel gemini cusp mar hold back go far winding let emotional gagged bound meet eye devil woman locked inside formal rising scared think possesed wan close thing want wan close show way feel feel love everytime body next mine somethin deep inside want love endlessly touch girl know make feel believe real believe real wan close thing want wan close show way feel attitude explain never know flame tying elastic word countdown till get hurt blood hot burned bright neon sign night hard say went far heart still bear scar wan close wan close wan close jezebel bursting queen living life like bad sweet dream telling lie truth clear think knew wanted hear wan close spinning around like wheel fire walkin tightrope love highwire fatal attraction escaping wan close thing want wan close wan close baby show way feel wan close thing want wan close show way 
"""Black Velvet""",mississippi middle dry spell jimmie rodgers victrola high mama dancin baby shoulder sun settin like molasses sky boy could sing knew move everything always wanting leave longing black velvet little boy smile black velvet slow southern style new religion bring knee black velvet please memphis music like heatwave white lightning bound drive wild mama baby heart every schoolgirl love tender leaf cryin aisle way moved sin sweet true always wanting leave longing might also like black velvet little boy smile black velvet slow southern style new religion bring knee black velvet please every word every song sang flash gone happened soon could black velvet little boy smile black velvet slow southern style new religion bring knee black velvet please black velvet little boy smile black velvet slow southern style new religion bring knee black velvet please please please please 
"""Release Me""",know time change mmm change come still feel many time tried turn love around wan give baby time two foot ground release release gone help wondering ohh come high would right release release come baby come baby knew time let cause wan free somehow easy come darlin hear darlin cause waste time trying make see baby got release release release might also like going back anymore finally weakened heart healing though slow stop coming around door cause gon find looking ohh come baby come baby knew time let cause wan free somehow easy baby come darlin hear darlin cause waste time trying make see baby got release tell power got power ohh come baby come baby knew time let cause wan free somehow easy baby come darlin hear darlin cause waste time trying make see baby got release release release release release ahh release release release 
"""Don't Know Much""",look face know year showing look life still know going know much know love may need know look eye never seen matter look dream beaten battered know much know love may need know many question still left unanswered much never broken feel near sometimes see clearly truth never know might also like look man blessed inspiration look soul still searching salvation know much know love may need know know much know love may need know know much know love may 
"""All Around the World""",know baby find somewhere somehow got let know much care never give looking baby around world find baby know know gone away know baby gon find quarrel let said many thing thing know bad think comin back gave reason reason said thing said mad think comin comin back much lyin wasted much time cryin might also like around world find baby know know gone away know baby gon find open hearted never wrong one weakest one sad think comin back comin back much lyin wasted much time cryin around world find baby know know gone away know baby gon find around world find baby know know gone away know baby gon find going find baby much lyin wasted much time cryin around world find baby know know gone away know baby gon find around world lookin baby around world gon gon find around world find baby know know gone away know baby gon find 
"""I Wanna Be Rich""",cash cold need bill collector ring phone bother home time fooling round foot touch floor get see want money lot lot money want pie sky want money lot lot money asking wan rich ohh wan rich ohh wan rich ohh wan rich little love peace happiness want cake wan eat want star silver moon spend money lottery favorite number see want money lot lot money want pie sky want money lot lot money asking might also likei wan rich ohh wan rich ohh wan rich ohh wan rich little love peace happiness every way rich love peace happiness want thing lover pocketful dream come true thing find keep satisfied rich gon say say got baby wan rich wan cause baby want money lot lot money want pie sky want money lot lot money asking wan rich wan rich wan rich wan rich little love peace happiness play baby lot lot everyone wan rich 
"""Rub You the Right Way""",pump bass hey pump bass pump pump bass pump bass pump pump pump pump pump pump pump missin man supply wish command work hard fill need give lesson feel feel good good baby get undressed slip robe lax lax darlin sit back prepare stroked feel magic hand touch rub right way stroke applied tenderness hold rub right way might also like light massage soft caress whenever give rub rub happiness customer satisfaction guarantee sin pleasure please hey hold let show show show pleasure like never known feel magic hand touch rub right way stroke applied tenderness hold rub right way feel magic hand touch rub right way stroke applied tenderness hold rub right way pump bass hey pump bass hey get busy feel good pump pump pump pump girl lax lax yeah feel magic hand touch rub right way stroke stroke baby applied tenderness hold hold baby rub right way rub baby rub baby rub baby rub feel magic hand touch rub right way stroke applied tenderness hold rub right way feel every wish command get undressed sit back relax touch gon rub magic hand give missin man stroke stroke soft caress applied much tenderness hold hold tight let give pleasure like never known feel magic hand touch rub right way stroke applied tenderness hold rub right way feel feel magic touch nothing satisfaction baby stroke stroke hey hey hey hold rub right way feel feel feel touch stroke hey come come feel baby feel baby feel feel feel feel feel baby stroke baby stroke baby stroke baby feel feel baby feel touch feel comin see whatever want whatever want feel got whatever need touch got baby got baby whatever want stroke got hand whatever need hold fulfill need baby feel feel feel feel feel 
"""She Ain't Worth It""",better make track fast double girl jazzy nothing trouble take want every day let know one always mind got attitude lead leaf blue see really waste time one day treat nice turn cold ice think love win end think worth girl worth grief putting ooh might also likeshe worth girl worth believe know know better better better bet bet better get hot leaf cold keep waiting phone cause know always give one try boy town love playing crowd tell really like standing line give everything make sad really want tell friend like say used girl would lie would lie cause one whole wide world could keep satisfied know cause tried jump one thing hate girl play fake try make late another date cause tried make mine last time take dis goodbye worth even though high tip better get grip get grip quick fast hurry cause buckle girl jazzy nothing trouble give everything make sad really want tell friend 
"""If Wishes Came True""",silence fill room memory hear calling close eye like yesterday fade away take back turn back hand time kissed warm september rain warm september rain back heart filled pain could love way wish came true dream night love real holding wish came true would someone always special heart would still lover apart wish came true might also likenow gone feeling lost inside since said goodbye dream still feel touch lying next feeling ecstasy take back turn back hand time kissed warm september rain warm september rain back heart filled pain could love way wish came true dream night love real holding wish came true would someone always special heart would still lover apart wish came true love madly need badly give love one chance wish came true dream night love real holding wish came true would someone always special heart would still lover apart wish came 
"""The Power""",transceptor technology got power power power hey yeah eah like crack whip snap attack front back thing called rap dig like shovel rhyme devil heavenly level bang bass turn treble radical mind day night time wise divine maniac brainiac winnin game lyrical jesse james yeah yeah yeah eah yeah getting kinda heavy getting getting getting kinda heavy getting getting getting kinda heavy getting getting getting kinda heavy getting getting getting kinda heavy might also like got power power power could break heart could break heart apart could break heart could break heart apart got power power power got power power power could break heart could break heart apart could break heart could break heart apart got power power power getting getting getting kinda hectic getting getting getting kinda hectic getting getting getting kinda hectic getting getting getting kinda hectic quality posse say fresh voice go mesh microphone holding copy written lyric stolen snap need police try save voice cease please stay back attack want got power power power could break heart could break heart apart could break heart could break heart apart got power power power got power power power could break heart could break heart apart could break heart could break heart apart got power power power quality posse say fresh voice go mesh microphone holding copy written lyric stolen snap need police try save voice cease please stay back attack want got power power power could break heart could break heart apart could break heart could break heart apart got power power power got power power power could break heart could break heart apart could break heart could break heart apart got power power power got power power power 
"""(Can't Live Without Your) Love and Affection""",seems like forever mind nothing changed think waste time go know missing see never give fight till understands desire outside looking let heart nothing earth keep apart baby live without love affection face another night give pride save alone cause live without love mmm love wait answer wonder tomorrow like yesterday keep holding living way baby might also likei outside looking bring tear end realize use pretend yeah live without love affection face another night give pride save alone cause live without love love put arm around love find strength tell love live without live without love affection face another night give pride save alone baby live without love affection way anymore hard try one thing know sure live without love go live without love baby go live without love go live without love 
"""Love Will Lead You Back""",saying goodbye never easy thing never said stay forever must well darling set free know time together try stop leaving cause heart know love lead back someday know love lead back arm belong sure sure star shining one day find long one day love lead back one night well hear voice gon say much miss walked door someday walk back darling know know might also like sometimes take time find way back home love lead back someday know love lead back arm belong sure sure star shining one day find long one day love lead back try stop leaving cause heart know yeah love lead back someday know love lead back arm belong sure sure star shining one day find long one day love lead back love lead back someday know love lead back arm long one day love lead back 
"""Don't Wanna Fall in Love""",personal thing boy got stay away far far away heart heart know kiss let tell start boy wan fall love love cut like knife make knife feel good fight end baby hanging around boy started sinking whoa baby way line unaware got started let tell one time boy wan fall love love cut like knife make knife feel good fight end baby might also like wan fall love love cut like knife make knife feel good fight end baby learned something last night knew want nobody else scaring death baby wan fall love love cut like knife make knife feel good fight end baby wan fall love love cut like knife make knife feel good fight end baby wan fall love love cut like knife make knife feel good fight end baby wan fall love love cut like knife make knife feel good fight end baby 
"""Two to Make It Right""",take two take two take two take two take two make thing right take two make sight take two make thing right take two make sight start plain see suffering serious broken heart know shame ease pain need feel alone could seriously sure enough happening thing know take two make thing right take two make sight take two make thing right take two make sight might also like see eye feel way feel call chemistry call cause know together really turn mother mind doubt one one equal know take two make thing right take two make sight take two make thing right take two make sight believe fairy tale believe thing meant alone could others arm hold cause know together could really turn mother mind doubt one one equal know take two make thing right take two make sight take two make thing right take two make sight take two take two take two take two take two take two take two take two take two take two take two take two take two take two take two take two 
"""Sending All My Love""",nothing really matter gone gone nothing really matter gone gone girl close eye start cry reason say goodbye pain inside make want die lonely night seem right sending sending love sending love sending love sending love every move make day day pray close eye teardrop start fall might also likei sending love sending love pain inside make want die sending love sending love sending love sending love sending love sending love sending sending love sending love girl close eye start cry reason say goodbye pain inside make want cry lonely night seem right sending love sending love sending love sending love sending love sending love sending love sending love sending 
"""Unskinny Bop""",got jumpy sit still yeah like gasoline wan pump leave get fill yeah every time touch honey get hot wan make love never stop come air pull floor going head unskinny bop blow away yeah unskinny bop bop night day yeah unskinny bop bop bop bop love play yeah unskinny bop nothin say look funny love bite got acting strange got many bee honey another word page yeah yeah might also likeevery time touch honey get hot wan make love never stop come air pull floor going head unskinny bop blow away yeah unskinny bop bop night day yeah unskinny bop bop bop bop love play yeah unskinny bop nothin say saying love love written face well honey see right well ridin end race right wrong left hell going unskinny bop blow away yeah unskinny bop bop night day yeah unskinny bop bop bop bop love play yeah air pulled floor unskinny bop good good good good unskinny bop bop night day yeah unskinny bop bop bop bop good good good 
"""Step by Step""",step step ooh baby gon get girl step step rah step step ooh baby gon get girl step step ooh baby really want world step hey girl eye see picture time step hey girl smile got know drive wild step step ooh baby always mind step step ooh girl really think matter time step step ooh baby gon get girl step step ooh baby really want world might also like step hey girl see got step girl yes true one else ever step step ooh baby always mind step step ooh girl really think matter time step step ooh baby gon get girl step step ooh baby really want world step step step step step step one lot fun step two much step three step four give step five know time arrived huh step step know need step step yes girl step step ooh baby always mind step step ooh girl really think matter time step step step step girl ooh baby gon get girl girl step step yeah ooh baby want need really want world want world step step ooh girl step step girl really want world step step ooh baby gon get girl step step ooh baby 
"""Dangerous""",know little bit dangerous ooh little bit dangerous pack bag take control movin heart soul get way get sight walking thin ice get night hey work game know business know name hold tight know little bit dangerous got take make end meet eye lover hit like heat know little bit dangerous turn around hot dry hidin halo mouth alive get way get sight attracted gogo deeper tonight might also likehey word game know business know name hold tight know little bit dangerous got take make end meet eye lover hit like heat know little bit dangerous ooh little bit dangerous hey hey hey word game know business know name hold tight know little bit dangerous got take make end meet eye lover hit like heat know little bit dangerous armed extremely dangerous got take make end meet eye lover hit like heat know little bit dangerous ooh little bit dangerous hey work mmm game know name hey ooh little bit dangerous know 
"""We Didn't Start the Fire""",harry truman doris day red china johnnie ray south pacific walter winchell joe dimaggio joe mccarthy richard nixon studebaker television north korea south korea marilyn monroe rosenbergs bomb sugar ray panmunjom brando king catcher rye eisenhower vaccine england got new queen marciano liberace santayana goodbye start fire always burning since world turning start fire light tried fight might also like joseph stalin malenkov nasser prokofiev rockefeller campanella communist bloc roy cohn juan peron toscanini dacron dien bien phu fall rock around clock einstein james dean brooklyn got winning team davy crockett peter pan elvis presley disneyland bardot budapest alabama khrushchev princess grace peyton place trouble suez start fire always burning since world turning start fire light tried fight little rock pasternak mickey mantle kerouac sputnik zhou lai bridge river kwai lebanon charles gaulle california baseball starkweather homicide child thalidomide buddy holly ben hur space monkey mafia hula hoop castro edsel syngman rhee payola kennedy chubby checker psycho belgian congo start fire always burning since world turning start fire light tried fight hemingway eichmann stranger strange land dylan berlin bay pig invasion lawrence arabia british beatlemania ole miss john glenn liston beat patterson pope paul malcolm british politician sex blown away else say start fire always burning since world turning start fire light tried fight birth control chi minh richard nixon back moonshot woodstock watergate punk rock begin reagan palestine terror airline ayatollah iran russian afghanistan wheel fortune sally ride heavy metal suicide foreign debt homeless vet aid crack bernie goetz hypodermic shore china martial law rock roller cola war take anymore start fire always burning since world turning start fire gone still burn start fire always burning since world turning start fire light tried fight start fire always burning since world turning start fire light tried fight start fire always burning since world turning start fire light tried fight start fire always burning since world turning 
"""I Don't Have the Heart""",face beaming say cause dreaming good going say around finally found everything wanted needed heart hurt last thing wan heart love way want inside dying see cry make understand care much baby trying say gently cause heart hurt last thing wan heart love way want might also like trusting open hoping love start heart heart heart hurt last thing wan heart love way want heart ooh baby heart heart heart ooh ooh baby heart heart heart heart 
"""Downtown Train""",outside another yellow moon punched hole night time mist climb window street shining like new dime downtown train full full brooklyn girl try hard break little world wave hand scatter like crow nothing ever capture heart thorn without rose careful dark one chose one baby hear hear see tonight downtown train every night every night downtown train know window know late know stair doorway walk street past gate stand light four way watch fall baby heart attack stay carnival never win back might also like see tonight downtown train every night every night leave lonely see tonight downtown train dream dream fall like rain downtown train see tonight downtown train every night every night see tonight downtown train dream dream fall like rain downtown train downtown train dream fall like rain downtown 
"""Rhythm Nation""",yeah yeah yeah yeah yeah yeah yeah bass bass bass bass nasty three music side break color line let work together improve way life join voice protest social injustice generation full courage come forth people world today looking better way life sing part rhythm nation people world unite strength number get right one time sing part rhythm nation test struggle progress lend lend hand help brother best thing getting worse make better time give damn let work together come might also like people world today looking better way life sing part rhythm nation people world unite strength number get right one time sing part rhythm nation everybody people world today looking better way life part rhythm nation people world unite strength number get right one time part rhythm nation bass bass bass bass bass bass bass bass bass bass bass bass bass bass bass bass bass nasty nation sing people say child sing want better way life nation sing people say child sing want better way life nasty nasty nasty bass bass na nasty nasty na nasty nasty na nasty nasty na nasty everybody sing people world today looking better way life sing part rhythm nation people world unite strength number get right one time sing part rhythm nation people world today looking better way life sing part rhythm nation people world unite strength number get right one time sing part rhythm nation nation nation nation nation nation nation nation 
"""I'll Be Your Everything""",come life world explain feeling guess dream come true lover lover best friend friend needing need everything everything everything ooh want need everything ooh give love life everything together last think problem past cause true love take miracle find guess blessed cause got side lover lover best friend friend needing need everything everything might also likei everything ooh give love life everything lost seeing darkness one found turn around holding arm reach one set free everything want need lift feeling make whole world turn around give heart soul let know love true everything give love life everything lift feeling make whole world turn around give heart soul let know love true ooh 
"""Roam""",hear wind whistling air whispering ear boy mercury shooting every degree girl dancing dirty dusty trail take hip hip rocking wilderness around world trip begin kiss roam want roam around world roam want without wing without wheel roam want roam around world roam want without anything love feel skip air strip sunset yeah ride arrow target one take hip hip rock wilderness around world trip begin kiss roam want roam around world roam want without wing without wheel roam want roam around world roam want without anything love feel might also like fly great big sky see great big sea kick continent bustin boundary take hip hip rock wilderness around world trip begin kiss roam want roam around world roam want without wing without wheel roam want roam around world roam want without anything love feel take hip hip rock wilderness take hip hip rock wilderness take hip hip rock wilderness take hip hip rock wilderness take hip hip rock wilderness take hip hip rock wilderness take hip hip rock wilderness 
"""Everything""",lately feel alone find joy know choice know hurt said goodbye know reason ever stopped believing never needed anyone blind see belonged everything give anything feel love bring everything say time mend broken heart fix life could never ever without touch might also like know still afraid let blame really let see took granted would always blind see belonged everything give anything feel love bring everything know hurt said goodbye know reason ever stopped believing never needed anyone blind see belonged everything give anything feel love bring everything life love everything life yeah everything woah yeah 
"""Back to Life (However Do You Want Me)""",back life back reality back life back reality back life back reality back yeah show decide want tell maybe could however want however need however want however need however want however need however want however need back life back present time back fantasy yes tell take initiative leave hand ready might also like however want however need however want hold want however need however want however however need however want however need however need however need however need however need live top block room trouble fuss need change positive change look writing wall tell want yeah however want however need however want however need however want however need however want however need back life back day let end foolish game hear let waste away make mind know stand however want however need however want however need however want however need however want however need however want however need however want however need however want however need however want however need 
"""Here and Now""",one look eye see mean heart believe love ever need holding close night need yeah look eye see happiness really mean love share make life sweet together always pledge love feel right ooh need promise love faithfully need vow one thee love need might also like look eye see love really need day nothing take love away dream need promise love faithfully need vow one thee love need starting ooh starting believe starting starting right starting right believe love glad take vow promise love faithfully need vow one thee love need 
"""Alright""",alright alright alright alright alright alright alright shoo bee doo bee doo wah baby baby sho nuff alright sho nuff alright seeing love true never doubt heart belongs alright world could end around love see meant alright might also like friend come friend may friend real know true self shown alright thick thick thin love til end know true friend alright friend come friend may friend real know true self shown alright thick thick thin love til end know true friend alright alright alright alright shoo bee doo bee doo wah alright alright alright catch fallin star shine make wish clap three time dream come true mind alright wish command never thought fall love best friend alright friend come friend may friend real know true self shown alright thick thick thin love till end know true friend alright always everlasting love passing happy alright alright alright alright shoo bee doo bee doo wah alright alright alright alright baby alright tell alright world could end around love see meant alright friend come friend may friend real know true self shown alright thick thick thin love til end know true friend alright alright alright alright shoo bee doo bee doo wah alright alright alright alright alright alright alright alright alright alright alright alright alright alright alright alright alright alright alright baby baby baby bay bay baby baby baby bay bay baby baby baby bay bay shoo bee doo bee doo shoo bee doo bee doo shoo bee doo bee doo baby baby baby bay bay baby baby baby bay bay alright sho nuff sho nuff shoo bee doo bee doo shoo bee doo bee doo shoo bee doo bee doo shoo bee doo bee doo baby baby baby bay bay baby baby baby bay bay baby baby baby bay bay baby baby baby bay bay bay bay bay bay bay bay bay bay bay bay baby bay bay bay bay bay 
"""Ice Ice Baby""",vip let kick ice ice baby ice ice baby alright stop collaborate listen ice back brand new invention something grab hold tightly flow like harpoon daily nightly ever stop know turn light glow extreme rock mic like vandal light stage wax chump like candle dance rush speaker boom killing brain like poisonous mushroom deadly play dope melody anything le best felony love leave better gangway better hit bullseye kid play problem solve check hook revolves ice ice baby vanilla ice ice baby vanilla ice ice baby vanilla ice ice baby might also like party jumpin bass kicked vega pumpin quick point point fakin cookin mc like pound bacon burnin quick nimble crazy hear cymbal hat souped tempo roll time solo rollin ragtop hair blow girlies standby wavin say stop drove kept pursuin next stop busted left headin next block block dead continued beachfront avenue girl hot wearing le bikini rockman lover driving lamborghinis jealous cause getting mine shay gauge vanilla ready chump wall chump acting ill full eight ball gunshot ranged like bell grabbed heard shell falling concrete real fast jumped car slammed gas bumper bumper avenue packed trying get away jackers jack police scene know mean passed confronted dope fiend problem solve check hook revolves ice ice baby vanilla ice ice baby vanilla ice ice baby vanilla ice ice baby vanilla take heed cause lyrical poet miami scene case know town created bass sound enough shake kick hole ground cause style like chemical spill rhyme vision feel conducted formed hell concept make hype want step shay play fade slice like ninja cut like razor blade fast dj say damn rhyme drug sell gram keep composure time get loose magnetized mic kick juice problem solve check hook deshay revolves ice ice baby vanilla ice ice baby vanilla ice ice baby vanilla ice ice baby vanilla ice man let get word mother ice ice baby cold ice ice baby cold ice ice baby cold ice ice baby cold cold ice ice baby cold cold ice ice baby cold cold ice 
