,Lyrics
"""Hold On""",treated bad wrong dear since since went away know hang around sit around sit around head hanging wonder wonder wonder loving ooh first mistake wanted much time morning noon night would known thing know might lost time complain waste time fighting blind minded thought despair hold love got hold hold love ooh hoo baby hold hold love got hold hey hold love ooh might also like art playing game heart break bout good love make heart fire give love every day remember need space patient give heart waste time fighting blind minded thought despair hold love got hold hey hold love got hold love yeah hey hold love baby hold hold love baby hold trust honesty must golden rule feel strength passion soul burn deeply within magic share sacrifice show much care waste time fighting blind minded thought despair hold love got hold hold love let keep tie hold love hang tight let hold love ooh school let hold love hold love ooh hold love love need really want hold love ooh keep keep hanging hold little trust honesty golden rule hold feel strength passion soul burning deep hold faith keep fire burning home hold hey yeah come home hold want hold time hold little faith blinded hold thought despair hold love thought despair hey waste hold 
"""It Must Have Been Love""",must love lay whisper pillow leave winter ground wake lonely air silence bedroom around around touch close eye dream away must love must good lost somehow must love moment touched til time run make believing together sheltered heart outside turn water like teardrop palm hard winter day dream away might also like must love must love wanted living without must love must love water flow wind blow must love must love must good lost somehow must love must love moment touched till time run yeah must love must love wanted living without must love water flow wind blow must love must love 
"""Nothing Compares 2 U""",seven hour fifteen day since took love away every night sleep day since took love away since gone whatever want see whomever choose eat dinner fancy restaurant nothing said nothing take away blue cause nothing compare nothing compare lonely without like bird without song nothing stop lonely tear falling tell baby wrong could put arm around every boy see remind went doctor guess told guess told said girl better try fun matter fool cause nothing compare nothing compare might also like flower planted mama backyard died went away know living baby sometimes hard willing give another try nothing compare nothing compare nothing compare nothing compare nothing compare nothing compare 
"""Poison""",yeah spyderman freeze full effect huh ready ron ready ready biv ready slick yeah break girl must warn sense something strange mind situation serious let cure cause running time beautiful relationship seem start deadly love together heart drivin mind hard find get head miss kiss love wrong move dead might also like girl poison never trust big butt smile girl poison poison caution step meet fly girl know cause portion think best thing world fly drive right mind steal heart blind beware schemin make think dreamin fall love screamin demon poison deadly movin slow lookin mellow fellow like devoe gettin paid laid better lay low schemin house money whole show low pro cut like afro see sayin huh winner know loser know crew used poison poison poison poison poison poison poison poison poison poison poison poison poison poison poison poison park shake breakin takin night played wall checkin fella high low keepin one eye open still clockin hoe one particular girl stood rest poison high power chest michael bivins runnin show bell biv devoe know slick blow drivin mind hard find get head miss kiss love wrong move dead girl poison never trust big butt smile girl poison poison fella end know sayin mike yeah full effect wassup ralph johnny forget boy brown whole crew poison 
"""Vogue""",strike pose strike pose vogue vogue vogue vogue vogue vogue look around everywhere turn heartache everywhere look around try everything escape pain life know life know else fails long something better today know place get away called dance floor come vogue vogue let body move music move music hey hey hey come vogue vogue let body flow flow know might also like need imagination use inside finest inspiration dream open door open door make difference black white boy girl music pumping give new life superstar yes know come vogue vogue vogue let body groove music groove music hey hey hey come vogue vogue vogue let body flow flow know beauty find bump grind soul musical feel beautiful magical life ball get dance floor vogue vogue let body move music move music hey hey hey come vogue vogue vogue let body flow flow know vogue vogue beauty find move music vogue vogue beauty find flow greta garbo monroe dietrich dimaggio marlon brando jimmy dean cover magazine grace kelly harlow jean picture beauty queen gene kelly fred astaire ginger rogers dance air style grace rita hayworth gave good face lauren katharine lana bette davis love lady attitude fella mood stand let get strike pose nothing vogue vogue oooh got let body move music oooh got let body flow oooh got vogue vogue vogue vogue 
"""Vision of Love""",treated kind sweet destiny carried desperation one waiting took long still believed somehow one needed would find eventually vision love given prayed night felt alone suffered alienation carried weight strong believed know succeeded finding place conceived vision love given vision love given might also like realized dream visualized love came feel alive thankful received answer heaven sent treated kind sweet destiny eternally grateful holding close prayed night faithfully knowing one needed would find eventually vision love given vision love turned 
"""Another Day in Paradise""",call man street sir help cold nowhere sleep somewhere tell walk look back pretend hear start whistle cross street seems embarrassed think twice cause another day paradise think twice cause another day paradise think call man street see cry got blister sol foot walk trying think twice cause another day paradise think twice another day paradise might also like think lord nothing anybody lord must something say tell line face see probably moved every place cause fit think twice cause another day paradise think twice another day paradise think mhm think another day paradise another day paradise para paradise paradise think paradise think para paradise paradise mhm paradise paradise 
"""Cradle of Love""",rock cradle love rock cradle love yes cradle love rock easily true well rock cradle love rocked cradle love yes cradle love rock easily true well burned like ball fire rebel took little child bride tease yeah easy yeah cause love cut million way shake devil misbehaves nobody fool come shake whatever rorwar rock cradle love whoo rock cradle love yes cradle love rock easily true yeah sent heaven right rob cradle love yes page love talk decently true might also likeyeah flesh romeo yeah baby hear moan easy know please yeah cause love start rollin train stop vain nobody fool come shake whatever whoo oooh yeah wage love know rock cradle woo yeah right wage love ooh yeah rock cradle yeah yeah yeah yeah yeah yeah whoo psycho baby take look baby well burned like ball fire rebel took little child bride tease yeah know please yeah well love start rollin train stop vain nobody fool come shake whatever rock cradle love yeah rock cradle love ooh sent heaven right rock cradle love rock cradle love yeah cradle love mama robbed devil love right cradle love tease tonight might sleaze right appease tonight let ease yeah rock cradle love ooo yeah cradle love right snatch back salvation soul mama yeah wow 
"""Blaze of Glory""",wake morning raise weary head got old coat pillow earth last night bed know goin god know devil run six gun lover candle wind brought world say born sin well least gave somethin steal win well tell wanted yeah wanted man colt stable cain abel catch goin blaze glory take know truth goin blaze glory lord never drew first drew first blood one son call young gun ask conscience offer soul ask grow wise man well ask grow old ask known love like sing song rain well seen love come seen shot seen die vain shot blaze glory take know truth cause goin blaze glory lord never drew first drew first blood devil son call young gun might also like night bed pray lord soul keep lookin forgiveness six foot deep lord got ask favor hope understand cause lived life fullest let boy die like man starin bullet let make final stand shot blaze glory take know truth goin blaze glory lord never drew first drew first blood one son call young gun young gun young gun young gun 
"""Do Me!""",take good look tell like see think think kiss pretty baby touch girl make think think girl baby baby think baby baby yeah girl let hair take clothes leave shoe would mind look moment make sweet love backstage age adolescent doin fine replied sighed like wild thing action took place kinda wet forget need body bag might also like baby baby wan baby yeah yeah baby yeah baby like morning time baby sometimes love evening baby baby girl baby yeah time clock swatch watch time chill got date late hey girl gon move jacuzzi ooh booty smack flip rub baby yeah baby like like baby yeah baby move little bit closer morning night wan morning night wan 
